"PADDD_ID","GeoDataTyp","Region","Country","ISO3166","WDPAID","Location_K","PACODE","primarynam","allnames","EventType","EnactedPro","YearPAGaze","YearPADDD","Cause","Areaaffect","Size_Pre","Size_Post","IUCN_pre","IUCN_post","Reversal","YR_Reverse","Offset","Systemic","Sys_Code","Supporting","Sources","Map_Details","Map_Sources","Notes","Date_Add","Last_Update","AddedBy","isLatestVe","Data_Status","Peer_Reviewed","Study_Link","Off_Type","Off_Area","Off_Details","Off_Source","Rev_Type","Rev_Area","Rev_Details","Rev_Source","Legal_Type","Marine","Marine_ZID","X","X.1","X.2","X.3","X.4","X.5","X.6"
"AUS045354D8","Polygon","Oceania","Australia","AUS","unk","Y","unk","Mount Fisher Forest Reserve","Mount Fisher Forest Reserve","Degazette","Enacted","2005","2010","Forestry","0.05","0.05","0","VI","unk","unk",NA,"unk","unk",NA,"unk","unk","unk","unk","4155MTF001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS145A202B","Polygon","Oceania","Australia","AUS","unk","Y","unk","Dulcie Range National Park","Dulcie Range National Park","Downsize","Enacted","1991","2012","unk","3.37","187.8","184.43","II","unk","unk",NA,"unk","unk",NA,"unk","unk","unk","unk","NTPA40","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS14D4F846","Polygon","Oceania","Australia","AUS","unk","Y","unk","Danbulla Forest Reserve","Danbulla Forest Reserve","Degazette","Enacted","2005","2010","Forestry","0.17","0.17","0","VI","unk","unk",NA,"unk","unk",NA,"unk","unk","unk","unk","4139DAF001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS1E357680","Polygon","Oceania","Australia","AUS","unk","Y","unk","Cardwell Forest Reserve","Cardwell Forest Reserve","Degazette","Enacted","2005","2010","Forestry","9.6","9.6","0","VI","unk","unk",NA,"unk","unk",NA,"unk","unk","unk","unk","4137CFO001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS35D5C2D6","Polygon","Oceania","Australia","AUS","unk","Y","unk","Gillies Highway Forest Reserve","Gillies Highway Forest Reserve","Degazette","Enacted","2010","2010","Forestry","0.17","0.17","0","VI","unk","unk",NA,"unk","unk",NA,"unk","unk","unk","unk","4144GHF001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS3754181C","Polygon","Oceania","Australia","AUS","unk","Y","unk","Gadgarra Forest Reserve","Gadgarra Forest Reserve","Degazette","Enacted","2010","2010","Forestry","0.46","0.46","0","VI","unk","unk",NA,"unk","unk",NA,"unk","unk","unk","unk","4142GAF001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS6C2764B0","Polygon","Oceania","Australia","AUS","unk","Y","unk","Alcock Forest Reserve","Alcock Forest Reserve","Degazette","Enacted","2005","2010","Forestry","0.05","0.05","0","VI","unk","unk",NA,"unk","unk",NA,"unk","unk","unk","unk","4136ALC001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS98C19160","Polygon","Oceania","Australia","AUS","unk","Y","unk","Howick Group National Park","Howick Group National Park","Downsize","Enacted","1999","2012","unk","6.91","7.76","0.85","II","unk","unk",NA,"unk","unk",NA,"unk","unk","unk","unk","0549HOW001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUSA5A541B4","Polygon","Oceania","Australia","AUS","unk","Y","unk","Macalister Range Forest Reserve","Macalister Range Forest Reserve","Degazette","Enacted","2010","2010","Forestry","0.52","0.52","0","VI","unk","unk",NA,"unk","unk",NA,"unk","unk","unk","unk","4180MLS001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUSBBB1D450","Polygon","Oceania","Australia","AUS","unk","Y","unk","Dinden Forest Reserve","Dinden Forest Reserve","Degazette","Enacted","2005","2010","Forestry","0.49","0.49","0","VI","unk","unk",NA,"unk","unk",NA,"unk","unk","unk","unk","4140DEF001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
