"PADDD_ID","GeoDataTyp","Region","Country","ISO3166","WDPAID","Location_K","PACODE","primarynam","allnames","EventType","EnactedPro","YearPAGaze","YearPADDD","Cause","Areaaffect","Size_Pre","Size_Post","IUCN_pre","IUCN_post","Reversal","YR_Reverse","Offset","Systemic","Sys_Code","Supporting","Sources","Map_Details","Map_Sources","Notes","Date_Add","Last_Update","AddedBy","isLatestVe","Data_Status","Peer_Reviewed","Study_Link","Off_Type","Off_Area","Off_Details","Off_Source","Rev_Type","Rev_Area","Rev_Details","Rev_Source","Legal_Type","Marine","Marine_ZID","X","X.1","X.2","X.3","X.4","X.5","X.6"
"AUS045354D8","Polygon","Oceania","Australia","AUS","unk","Y","unk","Mount Fisher Forest Reserve","Mount Fisher Forest Reserve","Degazette","Enacted","2005","2010","Forestry","0.05","0.05","0","VI","unk","unk",NA,"unk","unk",NA,"unk","unk","unk","unk","4155MTF001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS05EADE5C","Polygon","Oceania","Australia","AUS","unk","Y","unk","Kuranda Forest Reserve","Kuranda Forest Reserve","Degazette","Enacted","2005","2010","Forestry","0.15","0.15","0","VI","unk","unk",NA,"unk","unk",NA,"unk","unk","unk","unk","4149KAF001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS0A3EBCC1","Polygon","Oceania","Australia","AUS","unk","Y","unk","Tumoulin Forest Reserve","Tumoulin Forest Reserve","Degazette","Enacted","2010","2010","Forestry","18.77","18.77","0","VI","unk","unk",NA,"unk","unk","AB55859A","unk","unk","unk","unk","4199TML001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS0A431527","Polygon","Oceania","Australia","AUS","unk","Y","unk","Herberton Range National Park","Herberton Range National Park","Downgrade","Enacted","unk","2013","Infrastructure","63.5","63.5","63.5","II","unk","unk",NA,"unk","Y","8A523143","In 2013, 272 protected areas (national parks) in Queensland, Australia were downgraded to authorize commercial developments (e.g. hotels and restaurants). This affected 68,268 square kilometers in total within the 272 national parks. Source: Nature Conservation and Other Legislative Amendment Bill (No.2) 2013","Source: Nature Conservation and Other Legislative Amendment Bill (No.2) 2013","unk","unk","1003HRP001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS0AB3F3B0","Polygon","Oceania","Australia","AUS","unk","Y","unk","Mount O'Connell National Park","Mount O'Connell National Park","Downgrade","Enacted","unk","2013","Infrastructure","0.26","7.57","7.57","II","unk","unk",NA,"unk","Y","8A523143","In 2013, 272 protected areas (national parks) in Queensland, Australia were downgraded to authorize commercial developments (e.g. hotels and restaurants). This affected 68,268 square kilometers in total within the 272 national parks. Source: Nature Conservation and Other Legislative Amendment Bill (No.2) 2013","Source: Nature Conservation and Other Legislative Amendment Bill (No.2) 2013","unk","unk","0565MCN001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS0B0A49F1","Polygon","Oceania","Australia","AUS","unk","Y","unk","Mount Spurgeon National Park","Mount Spurgeon National Park","Downgrade","Enacted","unk","2013","Infrastructure","11.94","11.94","11.94","II","unk","unk",NA,"unk","Y","8A523143","In 2013, 272 protected areas (national parks) in Queensland, Australia were downgraded to authorize commercial developments (e.g. hotels and restaurants). This affected 68,268 square kilometers in total within the 272 national parks. Source: Nature Conservation and Other Legislative Amendment Bill (No.2) 2013","Source: Nature Conservation and Other Legislative Amendment Bill (No.2) 2013","unk","unk","0995SPU001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS0E54A897","Polygon","Oceania","Australia","AUS","unk","Y","unk","Dryander National Park","Dryander National Park","Downgrade","Enacted","unk","2013","Infrastructure","119.64","119.64","119.64","II","unk","unk",NA,"unk","Y","8A523143","In 2013, 272 protected areas (national parks) in Queensland, Australia were downgraded to authorize commercial developments (e.g. hotels and restaurants). This affected 68,268 square kilometers in total within the 272 national parks. Source: Nature Conservation and Other Legislative Amendment Bill (No.2) 2013","Source: Nature Conservation and Other Legislative Amendment Bill (No.2) 2013","unk","unk","0240DRY001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS14D4F846","Polygon","Oceania","Australia","AUS","unk","Y","unk","Danbulla Forest Reserve","Danbulla Forest Reserve","Degazette","Enacted","2005","2010","Forestry","0.17","0.17","0","VI","unk","unk",NA,"unk","unk",NA,"unk","unk","unk","unk","4139DAF001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS1531F18B","Polygon","Oceania","Australia","AUS","unk","Y","unk","Mount Windsor National Park","Mount Windsor National Park","Downgrade","Enacted","unk","2013","Infrastructure","438.2","438.2","438.2","II","unk","unk",NA,"unk","Y","8A523143","In 2013, 272 protected areas (national parks) in Queensland, Australia were downgraded to authorize commercial developments (e.g. hotels and restaurants). This affected 68,268 square kilometers in total within the 272 national parks. Source: Nature Conservation and Other Legislative Amendment Bill (No.2) 2013","Source: Nature Conservation and Other Legislative Amendment Bill (No.2) 2013","unk","unk","0921MNK001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
"AUS155D0139","Polygon","Oceania","Australia","AUS","unk","Y","unk","Connors Forest Reserve","Connors Forest Reserve","Degazette","Enacted","unk","2010","Forestry","7.28","7.28","0","VI","unk","unk",NA,"unk","unk",NA,"unk","unk","unk","unk","4200CFV001","unk","2019/05/01","Carly Cook","Y","No change","Y","R.E. Golden Kroner et al., The uncertain future of protected lands and waters. Science. 31, 364 (6443), 881-886 (2019). DOI: 10.1126/science.aau5525.
C.N. Cook, R.S. Valkan, M.B. Mascia, M.A. McGeoch, Quantifying the extent of protected-area downgrading, downsizing, and degazettement in Australia. Conservation Biology. 31, 1039–1052 (2017). DOI: 10.1111/cobi.12904.",NA,"unk","unk","unk",NA,"unk","unk","unk","unk",0,NA,NA,NA,NA,NA,NA,NA,NA
