"PADDD_ID","GeoDataTyp","Region","Country","ISO3166","WDPAID","Location_K","PACODE","primarynam","allnames","EventType","EnactedPro","YearPAGaze","YearPADDD","Cause","Areaaffect","Size_Pre","Size_Post","IUCN_pre","IUCN_post","Reversal","YR_Reverse","Offset","Systemic","Sys_Code","Marine"
"AUS045354D8","Polygon","Oceania","Australia","AUS","unk","Y","unk","Mount Fisher Forest Reserve","Mount Fisher Forest Reserve","Degazette","Enacted","2005","2010","Forestry","0.05","0.05","0","VI","unk","unk",NA,"unk","unk",NA,0
"AUS05EADE5C","Polygon","Oceania","Australia","AUS","unk","Y","unk","Kuranda Forest Reserve","Kuranda Forest Reserve","Degazette","Enacted","2005","2010","Forestry","0.15","0.15","0","VI","unk","unk",NA,"unk","unk",NA,0
"AUS0A3EBCC1","Polygon","Oceania","Australia","AUS","unk","Y","unk","Tumoulin Forest Reserve","Tumoulin Forest Reserve","Degazette","Enacted","2010","2010","Forestry","18.77","18.77","0","VI","unk","unk",NA,"unk","unk","AB55859A",0
"AUS14D4F846","Polygon","Oceania","Australia","AUS","unk","Y","unk","Danbulla Forest Reserve","Danbulla Forest Reserve","Degazette","Enacted","2005","2010","Forestry","0.17","0.17","0","VI","unk","unk",NA,"unk","unk",NA,0
"AUS155D0139","Polygon","Oceania","Australia","AUS","unk","Y","unk","Connors Forest Reserve","Connors Forest Reserve","Degazette","Enacted","unk","2010","Forestry","7.28","7.28","0","VI","unk","unk",NA,"unk","unk",NA,0
"AUS171CC758","Polygon","Oceania","Australia","AUS","unk","Y","unk","Ravenshoe 2 Forest Reserve","Ravenshoe 2 Forest Reserve","Degazette","Enacted","2010","2010","Forestry","2.5","2.5","0","VI","unk","unk",NA,"unk","unk",NA,0
"AUS1E357680","Polygon","Oceania","Australia","AUS","unk","Y","unk","Cardwell Forest Reserve","Cardwell Forest Reserve","Degazette","Enacted","2005","2010","Forestry","9.6","9.6","0","VI","unk","unk",NA,"unk","unk",NA,0
"AUS20A23B12","Polygon","Oceania","Australia","AUS","unk","Y","unk","Junction Reserve Management Agreement Area","Junction Reserve Management Agreement Area","Degazette","Enacted","1985","2008","Land Claims","203.5","203.5","0","VI","unk","unk",NA,"unk","unk",NA,0
"AUS233CC5AA","Polygon","Oceania","Australia","AUS","unk","Y","unk","Rollingstone Forest Reserve","Rollingstone Forest Reserve","Degazette","Enacted","unk","2008","unk","0.23","0.23","0","VI","unk","unk",NA,"unk","unk",NA,0
"AUS35D5C2D6","Polygon","Oceania","Australia","AUS","unk","Y","unk","Gillies Highway Forest Reserve","Gillies Highway Forest Reserve","Degazette","Enacted","2010","2010","Forestry","0.17","0.17","0","VI","unk","unk",NA,"unk","unk",NA,0
